LGA Name,Facility Name,Suburb,Postal Code,Latitude,Longitude,Sports Played,Courts/Fields Present,Field/Surface Type,Full Address
East Gippsland Shire Council,A.J Freeman Reserve,PAYNESVILLE,3880,-37.913402,147.715993,Australian Rules Football,1,Grass,"59 Main Road, PAYNESVILLE 3880"
East Gippsland Shire Council,Bairnsdale City Oval,BAIRNSDALE,3875,-37.832571,147.624434,Australian Rules Football,1,Grass,"20 MacArthur Street, BAIRNSDALE 3875"
East Gippsland Shire Council,Benambra Oval,BENAMBRA,3900,-36.943801,147.699706,Australian Rules Football,1,Grass,"32 Tip Road, BENAMBRA 3900"
East Gippsland Shire Council,Bruthen recreation reserve,BRUTHEN,3885,-37.711478,147.834179,Australian Rules Football,1,Grass,"10 Bruthan-Nowa Nowa Road, BRUTHEN 3885"
East Gippsland Shire Council,Lindenow Recreation reserve,LINDENOW,3865,-37.802093,147.45433,Australian Rules Football,1,Grass,"107 Hoyt Street, LINDENOW 3865"
East Gippsland Shire Council,Lindenow South Oval,LINDENOW SOUTH,3875,-37.832682,147.430423,Australian Rules Football,1,Grass,"15 Fernbank-Lindenow South Road, LINDENOW SOUTH 3875"
East Gippsland Shire Council,Lucknow Recreation Reserve,LUCKNOW,3875,-37.813354,147.649777,Australian Rules Football,1,Grass,"64 Great Alpine  Road, LUCKNOW 3875"
East Gippsland Shire Council,Swan Reach Recreation Reserve,SWAN REACH,3903,-37.824196,147.859134,Australian Rules Football,1,Grass,"30 Duffy Street, SWAN REACH 3903"
East Gippsland Shire Council,West Bairnsdale Oval,BAIRNSDALE,3875,-37.825706,147.608127,Australian Rules Football,1,Grass,"52 Anderson Street, BAIRNSDALE 3875"
East Gippsland Shire Council,Mallacoota Halls & Recreation Reserve,MALLACOOTA,3892,-37.559152,149.757183,Basketball,1,Wooden Gymnasium,"102 Betka Road, MALLACOOTA 3892"
East Gippsland Shire Council,West Bairnsdale Oval,BAIRNSDALE,3875,-37.825706,147.608127,BMX,1,Dirt,"52 Anderson Street, BAIRNSDALE 3875"
East Gippsland Shire Council,A.J Freeman Reserve,PAYNESVILLE,3880,-37.913402,147.715993,Cricket,2,Synthetic Pitch,"59 Main Road, PAYNESVILLE 3880"
East Gippsland Shire Council,Bairnsdale City Oval,BAIRNSDALE,3875,-37.832571,147.624434,Cricket,2,Synthetic Pitch,"20 MacArthur Street, BAIRNSDALE 3875"
East Gippsland Shire Council,Benambra Oval,BENAMBRA,3900,-36.943801,147.699706,Cricket,1,Turf Pitch,"32 Tip Road, BENAMBRA 3900"
East Gippsland Shire Council,Bruthen recreation reserve,BRUTHEN,3885,-37.711478,147.834179,Cricket,1,Turf Pitch,"10 Bruthan-Nowa Nowa Road, BRUTHEN 3885"
East Gippsland Shire Council,Lindenow Recreation reserve,LINDENOW,3865,-37.802093,147.45433,Cricket,2,Synthetic Pitch,"107 Hoyt Street, LINDENOW 3865"
East Gippsland Shire Council,Lindenow South Oval,LINDENOW SOUTH,3875,-37.832682,147.430423,Cricket,1,Synthetic Pitch,"15 Fernbank-Lindenow South Road, LINDENOW SOUTH 3875"
East Gippsland Shire Council,Lucknow Recreation Reserve,LUCKNOW,3875,-37.813354,147.649777,Cricket,2,Synthetic Pitch,"64 Great Alpine  Road, LUCKNOW 3875"
East Gippsland Shire Council,Mallacoota Halls & Recreation Reserve,MALLACOOTA,3892,-37.559152,149.757183,Cricket,1,Turf Pitch,"102 Betka Road, MALLACOOTA 3892"
East Gippsland Shire Council,Orbost Recreation Reserve,ORBOST,3888,-37.70514,148.456701,Cricket,1,Turf Pitch,"24 Gladstone Street, ORBOST 3888"
East Gippsland Shire Council,West Bairnsdale Oval,BAIRNSDALE,3875,-37.825706,147.608127,Cricket,1,Synthetic Pitch,"52 Anderson Street, BAIRNSDALE 3875"
East Gippsland Shire Council,Goose Gully Golf,BAIRNSDALE,3875,-37.801002,147.645942,Golf,1,9 Hole Course - Public,"90 Balfours Road, BAIRNSDALE 3875"
East Gippsland Shire Council,Lindenow Bowling Club,LINDENOW,3865,-37.802093,147.45433,Lawn Bowls,1,Grass,"107 Hoyt Street, LINDENOW 3865"
East Gippsland Shire Council,Orbost Lawn Bowls,ORBOST,3888,-37.70514,148.456701,Lawn Bowls,2,Grass,"24 Gladstone Street, ORBOST 3888"
East Gippsland Shire Council,Paynesville Bowling Club,PAYNESVILLE,3880,-37.913402,147.715993,Lawn Bowls,3,Grass,"11-17 Ashley Street, PAYNESVILLE 3880"
East Gippsland Shire Council,A.J Freeman Reserve,PAYNESVILLE,3880,-37.913402,147.715993,Netball,1,Asphalt,"59 Main Road, PAYNESVILLE 3880"
East Gippsland Shire Council,Bairnsdale City Oval,BAIRNSDALE,3875,-37.832571,147.624434,Netball,2,Asphalt,"20 MacArthur Street, BAIRNSDALE 3875"
